,Stock,Sector,Buy_num,Buy_total,Sell_num,Sell_total,Ticker
348,Electronic Arts (EA),Information Technology,0,$0,55,"$35,469,560",EA
349,Merit Medical Systems Inc. (MMSI),Health Care,0,$0,6,"$1,610,649",MMSI
350,Two Harbors Investment Corp. (TWO),Financials,0,$0,0,$0,TWO
351,Park Hotels & Resorts Inc. (PK),Financials,16,"$1,879,498",0,$0,PK
352,Hawaiian Holdings Inc. (HA),Services,0,$0,0,$0,HA
353,Rayonier Inc. (RYN),Financials,5,"$71,389",0,$0,RYN
354,Grupo Televisa SA (TV),Services,0,$0,0,$0,TV
355,Eagle Materials Inc. (EXP),Industrials,0,$0,0,$0,EXP
356,Toro Co. (TTC),Industrials,0,$0,0,$0,TTC
357,WESCO International Inc. (WCC),Services,0,$0,0,$0,WCC
358,Whirlpool Corp. (WHR),Consumer Discretionary,2,"$107,000",0,$0,WHR
359,CONSOL Coal Resources LP (CCR),Materials,0,$0,0,$0,CCR
360,Pampa EnergÃ­a S.A. (PAM),Utilities,0,$0,0,$0,PAM
361,SEACOR Holdings Inc. (CKH),Energy,7,"$329,817",1,"$148,362",CKH
362,Accenture (ACN),Services,0,$0,25,"$4,169,485",ACN
363,Alarm.Com Holdings (ALRM),Technology,0,$0,25,"$273,442,944",ALRM
364,NeuBase Therapeutics Inc. (NBSE),Health Care,6,"$201,109",0,$0,NBSE
365,RealReal Inc. (REAL),Consumer Cyclical,0,$0,22,"$26,474,436",REAL
366,Constellation Software Inc. (CNSWF),Technology,0,$0,0,$0,CNSWF
367,Heineken Holding NV (HKHHF),Consumer Goods,0,$0,0,$0,HKHHF
368,Hub Group 'A' (HUBG),Industrials,0,$0,0,$0,HUBG
369,CDW Corp. (CDW),Information Technology,0,$0,3,"$1,295,366",CDW
370,Alerian MLP ETF (AMLP),Energy,0,$0,0,$0,AMLP
371,Masco Corp. (MAS),Industrials,0,$0,3,"$2,155,036",MAS
372,HEICO Corp. (HEI),Industrial Goods,0,$0,1,"$59,555",HEI
373,Hostess Brands Inc. (TWNK),Financials,0,$0,2,"$6,587,145",TWNK
374,Alamo Group Inc. (ALG),Industrial Goods,0,$0,3,"$187,568",ALG
375,Michaels Companies Inc. (MIK),Services,0,$0,0,$0,MIK
376,Amgen (AMGN),Health Care,0,$0,3,"$563,477",AMGN
377,Fortune Brands Home & Security (FBHS),Consumer Goods,0,$0,1,"$120,350",FBHS
378,Miller (Herman) (MLHR),Industrials,1,"$548,452",0,$0,MLHR
379,Willis Towers Watson Public Ltd (WLTW),Financials,0,$0,0,$0,WLTW
380,Clorox Co. (CLX),Consumer Staples,0,$0,8,"$19,455,539",CLX
381,Emcor Group (EME),Industrials,1,"$58,520",0,$0,EME
382,Lockheed Martin Corp. (LMT),Industrials,0,$0,0,$0,LMT
383,Century Communities Inc. (CCS),Industrial Goods,0,$0,1,"$2,765,000",CCS
384,Albireo Pharma Inc. (ALBO),Health Care,0,$0,4,"$36,268",ALBO
385,Ocwen Financial Corp. (OCN),Financials,8,"$129,378",1,"$177,840",OCN
386,Farfetch Ltd (FTCH),Services,0,$0,0,$0,FTCH
387,PVH Corp. (PVH),Consumer Discretionary,0,$0,0,$0,PVH
388,Eastman Chemical (EMN),Materials,0,$0,1,"$3,280,160",EMN
389,Vail Resorts Inc. (MTN),Consumer Cyclical,0,$0,0,$0,MTN
390,Jones Lang Lasalle Inc. (JLL),Financials,0,$0,0,$0,JLL
391,Paychex Inc. (PAYX),Information Technology,1,"$99,974",0,$0,PAYX
392,Gannett Co. (GCI),Consumer Discretionary,7,"$667,020",0,$0,GCI
393,Essex Property Trust (ESS),Financials,0,$0,0,$0,ESS
394,Crown Castle International Corp. (CCI),Technology,0,$0,2,"$3,390,979",CCI
395,NVR Inc. (NVR),Consumer Discretionary,2,"$308,790",0,$0,NVR
396,Valmont Industries (VMI),Industrials,2,"$40,642",0,$0,VMI
397,Prestige Consumer Healthcare (PBH),Health Care,0,$0,1,"$1,183,720",PBH
398,Cooper Companies (COO),Health Care,0,$0,0,$0,COO
399,POSCO (PKX),Materials,0,$0,0,$0,PKX
400,KKR & Co. L.P. (KKR),Financials,0,$0,1,"$699,404",KKR
401,Crane Co. (CR),Industrials,2,"$79,609",0,$0,CR
402,Steel Partners Holdings L.P. (SPLP),Industrial Goods,46,"$288,222",0,$0,SPLP
403,PlayAGS Inc. (AGS),Consumer Cyclical,0,$0,0,$0,AGS
404,Hyatt Hotels Corp. (H),Financials,0,$0,1,"$116,065",H
405,Cie Financiere Richemont SA (CFRUY),Consumer Discretionary,0,$0,0,$0,CFRUY
406,Raytheon Technologies Corp. (RTX),Industrials,0,$0,0,$0,RTX
407,Oi SA (OIBR),Technology,0,$0,0,$0,OIBR
408,Carters Inc. (CRI),Consumer Goods,0,$0,0,$0,CRI
409,Tutor Perini Corp. (TPC),Industrial Goods,4,"$2,010,491",0,$0,TPC
410,Flowers Foods (FLO),Consumer Staples,0,$0,2,"$1,891,569",FLO
411,LogMeIn Inc. (LOGM),Technology,0,$0,0,$0,LOGM
412,Barrick Gold Corp. (GOLD),Materials,0,$0,0,$0,GOLD
413,WABTEC Corp. (WAB),Industrials,1,"$503,134",0,$0,WAB
414,Pivotal Investment Corp. (PIC),Financials,0,$0,0,$0,PIC
415,Atlantic Capital Bancshares (ACBI),Financials,1,"$15,350",0,$0,ACBI
416,Weyerhaeuser Corp. (WY),Materials,2,"$125,700",0,$0,WY
417,Bank of Nova Scotia (BNS),Financials,0,$0,0,$0,BNS
418,Deere & Co. (DE),Industrials,0,$0,0,$0,DE
419,Northeast Bancorp (NBN),Financials,0,$0,0,$0,NBN
420,Associated British Foods plc (ASBFF),Consumer Staples,0,$0,0,$0,ASBFF
421,BKF Capital Group Inc. (BKFG),Services,0,$0,0,$0,BKFG
422,Zynga Inc. (ZNGA),Technology,0,$0,20,"$5,154,705",ZNGA
423,AbbVie Inc. (ABBV),Health Care,3,"$255,755",2,"$3,725,036",ABBV
424,IDT Corp. CL B (IDT),Technology,0,$0,0,$0,IDT
425,RH (RH),Services,0,$0,0,$0,RH
426,Trelleborg AB (TBABF),Industrials,0,$0,0,$0,TBABF
427,Infinera Corp. (INFN),Technology,5,"$18,294,257",0,$0,INFN
428,Amedisys (AMED),Health Care,2,"$448,942",40,"$6,270,398",AMED
429,Davide Campari-Milano S.p.A. (DVDCF),Consumer Goods,0,$0,0,$0,DVDCF
430,Ferro Corp. (FOE),Materials,0,$0,0,$0,FOE
431,International Bus. Machines (IBM),Information Technology,0,$0,0,$0,IBM
432,Blue Apron Holdings (APRN),Consumer Cyclical,0,$0,6,"$72,549",APRN
433,Sprint Corp. (S),Telecommunications Services,0,$0,0,$0,S
434,Red Lion Hotels Corp. (RLH),Consumer Cyclical,0,$0,0,$0,RLH
435,JC Decaux SA ACT (JCDXF),Services,0,$0,0,$0,JCDXF
436,Arrow Electronics (ARW),Information Technology,1,"$24,977",5,"$2,231,336",ARW
437,Alexion Pharmaceuticals Inc. (ALXN),Health Care,38,"$39,465,063",0,$0,ALXN
438,Moody's Corp. (MCO),Financials,0,$0,51,"$33,492,723",MCO
439,Juniper Networks (JNPR),Information Technology,0,$0,2,"$542,088",JNPR
440,Armstrong Flooring Inc. (AFI),Consumer Goods,30,"$821,458",0,$0,AFI
441,BlackRock Floating Rate Inc Strat. Fund (FRA),Financials,0,$0,0,$0,FRA
442,Global Payments Inc. (GPN),Information Technology,1,"$99,042",8,"$7,021,681",GPN
443,Monro Inc. (MNRO),Consumer Goods,0,$0,0,$0,MNRO
444,Liberty LiLAC Group A (LILA),Services,2,"$199,710",0,$0,LILA
445,Fortis Inc. (FTS),Utilities,0,$0,0,$0,FTS
446,Cal-Maine Foods Inc. (CALM),Consumer Goods,0,$0,1,"$41,635",CALM
447,Graphic Packaging Hldg Co. (GPK),Consumer Goods,7,"$109,389",5,"$793,820",GPK
448,Waste Management Inc. (WM),Industrials,0,$0,0,$0,WM
449,Spirit Airlines (SAVE),Services,1,"$50,850",1,"$6,500",SAVE
450,Tokyo Broadcasting System Holdings (9401.T),Telecommunications Services,0,$0,0,$0,9401.T
451,T-Mobile US Inc. (TMUS),Technology,0,$0,0,$0,TMUS
452,Standard Chartered PLC (SCBFF),Financials,0,$0,0,$0,SCBFF
453,RLI Corp. (RLI),Financials,2,"$107,730",0,$0,RLI
454,First National Bank Alaska (FBAK),Financials,0,$0,0,$0,FBAK
455,FMC Corp. (FMC),Materials,0,$0,0,$0,FMC
456,Mohawk Industries (MHK),Consumer Discretionary,3,"$25,551,880",1,"$375,319",MHK
457,Bureau Veritas SA (BVRDF),Industrials,0,$0,0,$0,BVRDF
458,Tarkett SA (TKFTF),Consumer Goods,0,$0,0,$0,TKFTF
459,Eaton Vance Senior Income Trust (EVF),Financials,17,"$9,518,532",0,$0,EVF
460,Texas Instruments (TXN),Information Technology,0,$0,3,"$1,359,358",TXN
461,Imperial Oil Ltd. (IMO),Materials,0,$0,0,$0,IMO
462,Royal Gold Inc. (RGLD),Materials,0,$0,0,$0,RGLD
463,Roche Holding AG ADR (RHHBY),Health Care,0,$0,0,$0,RHHBY
464,Roche Holdings AG DIV RT (RHHVF),Health Care,0,$0,0,$0,RHHVF
465,SVB Financial Group (SIVB),Financials,0,$0,11,"$1,927,687",SIVB
466,Stanley Electric Co Ltd (STAEF),Consumer Cyclical,0,$0,0,$0,STAEF
467,Diamond S Shipping Inc. (DSSI),Industrials,1,"$19,680",2,"$46,821",DSSI
468,Mastercard Inc. (MA),Services,1,"$265,000",11,"$44,877,856",MA
469,Danaher Corp. (DHR),Industrials,6,"$23,490,923",9,"$18,744,609",DHR
470,Tivity Health Inc. (TVTY),Health Care,7,"$3,473,677",0,$0,TVTY
471,SBA Communications Corp. (SBAC),Technology,0,$0,39,"$99,288,040",SBAC
472,Humana Inc. (HUM),Health Care,1,"$434,100",4,"$6,591,765",HUM
473,Scotts Miracle-Gro Co. (SMG),Materials,0,$0,47,"$34,348,384",SMG
474,Intelsat S.A. (I),Technology,0,$0,0,$0,I
475,Progressive Corp. (PGR),Financials,0,$0,5,"$6,473,884",PGR
476,Kroger Co. (KR),Consumer Staples,0,$0,14,"$5,108,221",KR
477,Spartan Motors Inc. (SPAR),Consumer Goods,0,$0,1,"$150,609",SPAR
478,Western Midstream Partners LP (WES),Energy,4,"$2,053,986",0,$0,WES
479,ANSYS Inc. (ANSS),Information Technology,0,$0,18,"$2,497,753",ANSS
480,HD Supply Holdings (HDS),Services,7,"$15,636,616",0,$0,HDS
481,Lazard Ltd. (LAZ),Financials,0,$0,0,$0,LAZ
482,Netflix Inc. (NFLX),Consumer Discretionary,0,$0,57,"$75,572,383",NFLX
483,Dillard Inc. (DDS),Services,1,"$7,486",0,$0,DDS
484,Genworth Financial Inc. (GNW),Financials,0,$0,0,$0,GNW
485,Vornado Realty Trust (VNO),Financials,1,"$497,113",0,$0,VNO
486,Trimble Inc. (TRMB),Information Technology,0,$0,2,"$680,379",TRMB
487,WestRock Co. (WRK),Consumer Goods,3,"$7,881",0,$0,WRK
488,Cirrus Logic Inc. (CRUS),Technology,0,$0,4,"$8,011,321",CRUS
489,BASF SE (BFFAF),Materials,0,$0,0,$0,BFFAF
490,Skechers U.S.A. Inc. (SKX),Consumer Discretionary,0,$0,5,"$4,242,025",SKX
491,Culp Inc. (CULP),Industrial Goods,3,"$58,968",0,$0,CULP
492,FleetCor Technologies Inc. (FLT),Services,0,$0,1,"$6,633,650",FLT
493,Cracker Barrel Old Cntry Store (CBRL),Services,1,"$223,009",0,$0,CBRL
494,Glencore Plc (GLNCY),Materials,0,$0,0,$0,GLNCY
495,NEXON Co. Ltd. (NEXOF),Technology,0,$0,0,$0,NEXOF
496,Antero Midstream Corp. (AMGP),Energy,0,$0,0,$0,AMGP
497,Adient plc (ADNT),Materials,3,"$140,421",0,$0,ADNT
498,Cullen Frost Bankers (CFR),Financials,4,"$2,099,018",3,"$1,632,881",CFR
499,Bristol-Myers Squibb Rights (BMY.R),Health Care,0,$0,0,$0,BMY.R
500,Occidental Petroleum (OXY),Energy,3,"$507,600",1,"$445,500",OXY
501,PepsiCo Inc. (PEP),Consumer Staples,0,$0,1,"$1,055,108",PEP
502,Nexstar Media Group (NXST),Services,5,"$674,595",23,"$4,006,593",NXST
503,Polaris Inc. (PII),Consumer Discretionary,0,$0,0,$0,PII
504,Accelerate Diagnostics Inc. (AXDX),Health Care,22,"$11,345,290",0,$0,AXDX
505,NVIDIA Corp. (NVDA),Information Technology,0,$0,65,"$76,931,271",NVDA
506,Discovery Communications Inc. CL C (DISCK),Consumer Discretionary,0,$0,0,$0,DISCK
507,Welbilt Inc. (WBT),Services,4,"$381,820",0,$0,WBT
508,Block H&R (HRB),Consumer Discretionary,0,$0,0,$0,HRB
509,Regal-Beloit Corp. (RBC),Industrials,0,$0,0,$0,RBC
510,Apollo Global Management (APO),Financials,1,"$58,973",39,"$133,863,785",APO
511,Air Products & Chemicals (APD),Materials,0,$0,0,$0,APD
512,Meridian Bancorp Inc. (EBSB),Financials,0,$0,4,"$37,251",EBSB
513,Union Pacific (UNP),Industrials,1,"$2,073,000",0,$0,UNP
514,Falcon Minerals Corp. WTS (FLMN.WS),Energy,0,$0,0,$0,FLMN.WS
515,IAC/InterActive Corp. (IAC),Consumer Discretionary,0,$0,0,$0,IAC
516,Miller Industries Inc. (MLR),Consumer Goods,0,$0,0,$0,MLR
517,Verint Systems Inc. (VRNT),Technology,0,$0,12,"$5,052,519",VRNT
518,Magnolia Oil & Gas Corp. (MGY),Energy,2,"$83,873",0,$0,MGY
519,Expeditors Int'l (EXPD),Industrials,0,$0,1,"$1,417,536",EXPD
520,Gildan Activewear Inc. (GIL),Consumer Goods,0,$0,0,$0,GIL
521,Sherwin-Williams (SHW),Consumer Discretionary,0,$0,8,"$13,828,253",SHW
522,Dover Corp. (DOV),Industrials,2,"$86,175",0,$0,DOV
523,Bristol-Myers Squibb (BMY),Health Care,0,$0,2,"$1,762,232",BMY
524,Tidewater Inc. (TDW),Energy,4,"$159,088",0,$0,TDW
525,FRP Holdings Inc. (FRPH),Services,0,$0,0,$0,FRPH
526,Olympus Corp. (OCPNY),Health Care,0,$0,0,$0,OCPNY
527,Pitney-Bowes (PBI),Industrials,1,"$5,120",0,$0,PBI
528,Battalion Oil Corp. (BATL),Energy,0,$0,0,$0,BATL
529,Krones AG (KRNNF),Industrial Goods,0,$0,0,$0,KRNNF
530,Tapestry Inc. (TPR),Consumer Discretionary,0,$0,0,$0,TPR
531,HP Inc. (HPQ),Information Technology,3,"$1,212,060",0,$0,HPQ
532,Energy Transfer Partners LP (ETP),Materials,0,$0,0,$0,ETP
533,Triple-S Management Corp. (GTS),Financials,1,"$14,700",0,$0,GTS
534,Affiliated Managers Group (AMG),Financials,4,"$1,830,410",0,$0,AMG
535,ManpowerGroup (MAN),Industrials,0,$0,0,$0,MAN
536,WR Grace & Co. (GRA),Materials,3,"$334,290",0,$0,GRA
537,SB One Bancorp (SBBX),Financials,6,"$87,489",0,$0,SBBX
538,Coca Cola Co. (KO),Consumer Staples,1,"$76,898",5,"$24,055,903",KO
539,Graco Inc. (GGG),Industrials,0,$0,1,"$2,115,000",GGG
540,Elanco Animal Health Inc. (ELAN),Health Care,2,"$359,000",0,$0,ELAN
541,ita Unibanco Holding S.A. (ITUB),Financials,0,$0,0,$0,ITUB
542,Icahn Enterprises (IEP),Financials,0,$0,0,$0,IEP
543,Deswell Industries (DSWL),Consumer Goods,0,$0,0,$0,DSWL
544,Mosaic Co. (MOS),Materials,6,"$442,680",0,$0,MOS
545,Gap Inc. (GPS),Consumer Discretionary,0,$0,0,$0,GPS
546,Ally Financial Inc. (ALLY),Financials,3,"$666,360",0,$0,ALLY
547,ICC Holdings Inc. (ICCH),Financials,0,$0,0,$0,ICCH
548,Federal Life Group Inc. (FLF),Financials,0,$0,0,$0,FLF
549,Old Dominion Freight Line (ODFL),Industrials,0,$0,0,$0,ODFL
550,AngloGold Ashanti Ltd. (AU),Materials,0,$0,0,$0,AU
551,Regeneron Pharmaceuticals (REGN),Health Care,0,$0,336,"$12,020,631,939",REGN
552,Franco Nevada Corp. (FNNVF),Materials,0,$0,0,$0,FNNVF
553,Keysight Technologies Inc. (KEYS),Technology,0,$0,5,"$9,460,428",KEYS
554,Muenchener Rueckversicherungs Gesellschaft AG (MURGF),Financials,0,$0,0,$0,MURGF
555,iShares 1-3 Year Treasury BondÂ ETF (SHY),NA,0,$0,0,$0,SHY
556,Aptiv PLC (APTV),Consumer Goods,0,$0,0,$0,APTV
557,Advanced Emissions Solutions (ADES),Industrial Goods,0,$0,0,$0,ADES
558,First Amer'n Corp. (FAF),Financials,0,$0,1,"$1,977,000",FAF
559,Albemarle Corp. (ALB),Materials,0,$0,0,$0,ALB
560,ServiceMaster Global Holdings (SERV),Industrial Goods,5,"$426,204",0,$0,SERV
561,CIT Group (CIT),Financials,18,"$1,672,820",0,$0,CIT
562,Honeywell Int'l Inc. (HON),Industrials,0,$0,0,$0,HON
563,CNH Industrial NV (CNHI),Industrial Goods,0,$0,0,$0,CNHI
564,Gentherm Inc (THRM),Consumer Goods,0,$0,0,$0,THRM
565,Energy Transfer Equity LP (ETE),Materials,0,$0,0,$0,ETE
566,Teradata Corp. (TDC),Information Technology,3,"$199,746",0,$0,TDC
567,Cooper Tire & Rubber Co. (CTB),Consumer Goods,0,$0,0,$0,CTB
568,General Motors (GM),Consumer Discretionary,3,"$1,050,714",0,$0,GM
569,Sleep Number Corp. (SNBR),Consumer Cyclical,0,$0,2,"$107,504",SNBR
570,Altria Group Inc. (MO),Consumer Staples,0,$0,0,$0,MO
571,FactSet Research Systems (FDS),Information Technology,0,$0,19,"$19,627,138",FDS
572,Crimson Wine Group (CWGL),Consumer Goods,11,"$1,004,294",0,$0,CWGL
573,Retail Opportunity Investments Corp. (ROIC),Real Estate,1,"$268,424",0,$0,ROIC
574,Ceridian HCM Holding Inc. (CDAY),Technology,0,$0,7,"$245,303,616",CDAY
575,Colgate-Palmolive (CL),Consumer Staples,0,$0,10,"$2,776,673",CL
576,ON Semiconductor Corp. (ON),Technology,0,$0,1,"$297,598",ON
577,TerraForm Power Inc. (TERP),Utilities,0,$0,0,$0,TERP
578,Core Laboratories NV (CLB),Materials,3,"$16,555",0,$0,CLB
579,Kraft Heinz Co. (KHC),Consumer Staples,0,$0,0,$0,KHC
580,Chevron Corp. (CVX),Energy,0,$0,0,$0,CVX
581,Hewlett Packard Enterprise (HPE),Technology,0,$0,0,$0,HPE
582,Toronto-Dominion Bank (TD),Financials,0,$0,0,$0,TD
583,Caterpillar Inc. (CAT),Industrials,0,$0,0,$0,CAT
584,Endo International plc (ENDP),Health Care,0,$0,0,$0,ENDP
585,Chemical & Mining Co. of Chile (SQM),Materials,0,$0,0,$0,SQM
586,Newcrest Mining Ltd. (NCMGY),Materials,0,$0,0,$0,NCMGY
587,Unifi Inc. (UFI),Consumer Discretionary,15,"$1,294,480",0,$0,UFI
588,Bel Fuse Inc. (BELFB),Information Technology,5,"$190,789",1,"$9,350",BELFB
589,Cleveland-Cliffs Inc. (CLF),Materials,6,"$1,129,153",0,$0,CLF
590,NVE Corp. (NVEC),Technology,0,$0,0,$0,NVEC
591,Raymond James Finl (RJF),Financials,2,"$1,588,806",2,"$948,813",RJF
592,Five9 Inc. (FIVN),Technology,0,$0,42,"$10,206,032",FIVN
593,CoreSite Realty Corp. (COR),Financials,0,$0,70,"$1,682,844,520",COR
594,Permian Basin Royalty Trust (PBT),Materials,0,$0,0,$0,PBT
595,Crown Holdings (CCK),Consumer Goods,0,$0,0,$0,CCK
596,SIGA Technologies Inc. (SIGA),Health Care,0,$0,0,$0,SIGA
597,Charles Schwab (SCHW),Financials,2,"$290,416",2,"$810,578",SCHW
598,M&T Bank Corp. (MTB),Financials,0,$0,2,"$207,050",MTB
599,Novartis AG (NVS),Health Care,0,$0,0,$0,NVS
600,Volkswagen AG (VLKAF),Consumer Cyclical,0,$0,0,$0,VLKAF
601,Macy's Inc. (M),Consumer Discretionary,0,$0,4,"$36,837",M
602,Starbucks Corp. (SBUX),Consumer Discretionary,0,$0,4,"$1,056,755",SBUX
603,City Office Reit (CIO),Financials,5,"$301,168",0,$0,CIO
604,TreeHouse Foods (THS),Consumer Staples,2,"$75,225",3,"$2,401,014",THS
605,Trupanion Inc. (TRUP),Financials,0,$0,20,"$2,027,188",TRUP
606,Brunswick Corp. (BC),Consumer Discretionary,0,$0,0,$0,BC
607,JD.com Inc. (JD),Technology,0,$0,0,$0,JD
608,iShares MSCI India ETF (INDA),NA,0,$0,0,$0,INDA
609,Broadridge Financial Solutions (BR),Information Technology,0,$0,16,"$21,806,626",BR
610,frontdoor Inc. (FTDR),Industrials,1,"$173,888",0,$0,FTDR
611,Borg Warner Inc. (BWA),Consumer Discretionary,0,$0,4,"$1,672,538",BWA
612,Enterprise Products Partners LP (EPD),Materials,26,"$5,350,399",0,$0,EPD
613,MBIA Inc. (MBI),Financials,0,$0,1,"$130,636",MBI
614,NMI Holdings (NMIH),Financials,0,$0,1,"$21,593",NMIH
615,IDEXX Laboratories (IDXX),Health Care,0,$0,27,"$60,716,597",IDXX
616,Aggreko Plc (ARGKF),Industrial Goods,0,$0,0,$0,ARGKF
617,SLM Corp. (SLM),Financials,0,$0,0,$0,SLM
618,Sutter Rock Capital Corp. (SSSS),Financials,28,"$4,909,874",0,$0,SSSS
619,Reinsurance Group of America Inc. (RGA),Financials,0,$0,1,"$63,139",RGA
620,Marriott Int'l. (MAR),Consumer Discretionary,0,$0,2,"$3,931,588",MAR
621,CME Group (CME),Financials,1,"$137,315",2,"$2,162,970",CME
622,Ellington Financial LLC (EFC),Financials,0,$0,0,$0,EFC
623,Colony Capital Inc. (CLNY),Financials,10,"$1,894,787",4,"$198,696",CLNY
624,EQT Corp. (EQT),Utilities,1,"$12,860",0,$0,EQT
625,Clear Channel Outdoor Holdings (CCO),Services,2,"$32,730",0,$0,CCO
626,Abercrombie & Fitch Co. (ANF),Consumer Discretionary,5,"$532,990",0,$0,ANF
627,Consolidated Edison (ED),Utilities,28,"$80,641",0,$0,ED
628,Post Holdings (POST),Consumer Goods,1,"$8,472",2,"$409,247",POST
629,Tennant Co. (TNC),Industrial Goods,0,$0,0,$0,TNC
630,Paycom Software Inc. (PAYC),Technology,0,$0,40,"$185,679,647",PAYC
631,Digi International (DGII),Information Technology,0,$0,4,"$447,640",DGII
632,Royal Bank of Scotland (RBS),Financials,0,$0,0,$0,RBS
633,Liberty SiriusXM Series C (LSXMK),Services,22,"$336,622,090",0,$0,LSXMK
634,Manning & Napier (MN),Financials,4,"$30,746",0,$0,MN
635,Visteon Corp. (VC),Consumer Goods,1,"$251,250",0,$0,VC
636,Northwest Pipe Co. (NWPX),Materials,1,"$25,320",1,"$105,543",NWPX
637,"Suburban Propane Partners, L.P. (SPH)",Utilities,0,$0,0,$0,SPH
638,Fidelity National Financial Inc. (FNF),Financials,0,$0,6,"$11,513,395",FNF
639,Bio-Techne Corp. (TECH),Health Care,0,$0,18,"$15,190,266",TECH
640,Veeva Systems Inc. (VEEV),Technology,0,$0,32,"$14,992,015",VEEV
641,Envista Holdings Corp. (NVST),Health Care,0,$0,0,$0,NVST
642,Heineken NV (HINKY),Consumer Goods,0,$0,0,$0,HINKY
643,Fomento Economico Mexicano (FMX),Consumer Goods,0,$0,0,$0,FMX
644,ATN International Inc. (ATNI),Telecommunications Services,0,$0,14,"$683,537",ATNI
645,Cimarex Energy Co. (XEC),Energy,4,"$537,308",0,$0,XEC
646,Nuance Communications Inc. (NUAN),Technology,0,$0,49,"$3,881,052",NUAN
647,Fortinet Inc. (FTNT),Technology,0,$0,40,"$11,221,319",FTNT
648,Lululemon Athletica Inc. (LULU),Consumer Goods,0,$0,27,"$124,997,863",LULU
649,Farmers & Merchants Bank (FMBL),Financials,0,$0,0,$0,FMBL
650,Laboratory Corp. of America Hldgs (LH),Health Care,2,"$99,360",1,"$5,000,000",LH
651,News Corp. CL B (NWS),Services,0,$0,1,"$151,603",NWS
652,Copart Inc. (CPRT),Industrials,0,$0,11,"$189,447,291",CPRT
653,NortonLifeLock Inc. (NLOK),Information Technology,0,$0,4,"$2,402,562",NLOK
654,Patterson UTI-Energy (PTEN),Energy,7,"$494,966",0,$0,PTEN
655,Community Trust Bancorp Inc. (CTBI),Financials,2,"$29,634",0,$0,CTBI
656,Arconic Inc. (ARNC),Industrial Goods,5,"$852,174",0,$0,ARNC
657,American Intl. Grp. WTS (AIG.WS),Financials,0,$0,0,$0,AIG.WS
658,China Yuchai Intl Ltd. (CYD),Industrial Goods,0,$0,0,$0,CYD
659,Toyota Industries Corp. (TYIDF),Consumer Goods,0,$0,0,$0,TYIDF
660,Seagate Technology (STX),Technology,0,$0,13,"$6,881,063",STX
661,Taylor Morrison Home Corp. (TMHC),Industrial Goods,1,"$7,075",1,"$7,055",TMHC
662,Dollarama Inc. (DLMAF),Consumer Goods,0,$0,0,$0,DLMAF
663,Assurant Inc. (AIZ),Financials,0,$0,0,$0,AIZ
664,United Airlines Holdings Inc. (UAL),Services,0,$0,0,$0,UAL
665,Amerant Bancorp Inc. (AMTB),Financials,0,$0,0,$0,AMTB
666,Maxim Integrated Products (MXIM),Information Technology,0,$0,10,"$3,104,839",MXIM
667,Western Digital (WDC),Information Technology,0,$0,1,"$59,352",WDC
668,Penske Automotive Group (PAG),Services,0,$0,0,$0,PAG
669,General Electric (GE),Industrials,0,$0,1,"$31,670,467",GE
670,Camping World Holdings Inc. (CWH),Consumer Discretionary,14,"$1,697,386",0,$0,CWH
671,KeyCorp (KEY),Financials,3,"$1,109,564",0,$0,KEY
672,Brown & Brown Inc. (BRO),Financials,0,$0,0,$0,BRO
673,Prosus NV (PROSF),Technology,0,$0,0,$0,PROSF
674,Interactive Brokers Group Inc. (IBKR),Financials,0,$0,1,"$64,758",IBKR
675,Zoetis Inc. (ZTS),Health Care,0,$0,7,"$3,133,595",ZTS
676,Carlisle Companies (CSL),Industrials,0,$0,0,$0,CSL
677,Aspen Group Inc. (ASPU),Consumer Goods,2,"$71,955",12,"$2,581,701",ASPU
678,IDW Media Holdings (IDWM),Services,0,$0,0,$0,IDWM
679,Pacific Biosciences of California (PACB),Health Care,0,$0,1,"$8,421",PACB
680,Advanced Micro Devices (AMD),Information Technology,0,$0,17,"$35,737,320",AMD
681,SPDR S&P 500 ETF Trust (SPY),,0,$0,0,$0,SPY
682,STORE Capital Corp. (STOR),Financials,11,"$851,753",0,$0,STOR
683,International Flav/Frag (IFF),Materials,143,"$201,054,071",2,"$89,448",IFF
684,Danone (DANOY),Consumer Goods,0,$0,0,$0,DANOY
685,Lions Gate Ent. Corp. CL B (LGF.B),Services,1,"$50,435",0,$0,LGF.B
686,Forestar Group Inc. (FOR),Real Estate,2,"$9,475",0,$0,FOR
687,Delta Air Lines Inc. (DAL),Services,6,"$645,435",7,"$314,379,791",DAL
688,Trinity Place Holdings (TPHS),Financials,2,"$8,300",0,$0,TPHS
689,AIA Group Ltd. (AAIGF),Financials,0,$0,0,$0,AAIGF
690,Taubman Centers Inc. (TCO),Financials,0,$0,0,$0,TCO
691,Rinnai Corp. (RINIF),Consumer Cyclical,0,$0,0,$0,RINIF
692,HarborOne Bancorp (HONE),Financials,12,"$177,779",0,$0,HONE
693,Houlihan Lokey Inc. (HLI),Financials,0,$0,33,"$16,609,863",HLI
694,US Foods Holding Corp. (USFD),Consumer Goods,0,$0,0,$0,USFD
695,China Feihe Ltd (CFEIY),Consumer Staples,0,$0,0,$0,CFEIY
696,Hexcel Corp. (HXL),Industrial Goods,2,"$2,022,238",1,"$393,916",HXL
697,Viper Energy Partners LP (VNOM),Energy,0,$0,0,$0,VNOM
