id,Name,Period,Stock,Percentage_of_portfolio,Shares,Recent_activity,Price,Value,Paresing_date,Ticker
2020Q2_678,Howard Marks - Oaktree Capital Management,Q1 2020,TGS - Transportadora de Gas Del Sur SA,0.32,"1,974,729",Add 5.33%,$4.60,"$9,083,000",2020-06-07,TGS
2020Q2_679,Howard Marks - Oaktree Capital Management,Q1 2020,GLIBA - GCI Liberty Inc.,0.31,"150,000", ,$56.97,"$8,545,000",2020-06-07,GLIBA
2020Q2_680,Howard Marks - Oaktree Capital Management,Q1 2020,BCEI - Bonanza Creek Energy,0.30,"741,726",Reduce 26.32%,$11.25,"$8,344,000",2020-06-07,BCEI
2020Q2_681,Howard Marks - Oaktree Capital Management,Q1 2020,TSQ - Townsquare Media Inc.,0.26,"1,595,224", ,$4.61,"$7,353,000",2020-06-07,TSQ
2020Q2_682,Howard Marks - Oaktree Capital Management,Q1 2020,XEC - Cimarex Energy Co.,0.25,"415,735", ,$16.83,"$6,996,000",2020-06-07,XEC
2020Q2_683,Howard Marks - Oaktree Capital Management,Q1 2020,"VIST - Vista Oil & Gas, S.A.B. de C.V.",0.22,"3,133,000",Add 23.93%,$2.00,"$6,266,000",2020-06-07,VIST
2020Q2_684,Howard Marks - Oaktree Capital Management,Q1 2020,EFT - Eaton Vance Floating-Rate Inc Trust,0.21,"570,000",Buy ,$10.25,"$5,842,000",2020-06-07,EFT
2020Q2_685,Howard Marks - Oaktree Capital Management,Q1 2020,IHRT - iHeartMedia Inc.,0.19,"715,247", ,$7.31,"$5,228,000",2020-06-07,IHRT
2020Q2_686,Howard Marks - Oaktree Capital Management,Q1 2020,BELFB - Bel Fuse Inc.,0.18,"534,292", ,$9.45,"$5,048,000",2020-06-07,BELFB
2020Q2_687,Howard Marks - Oaktree Capital Management,Q1 2020,JFR - Nuveen Floating Rate Income Fund,0.16,"580,000",Buy ,$7.55,"$4,379,000",2020-06-07,JFR
2020Q2_688,Howard Marks - Oaktree Capital Management,Q1 2020,BRFS - BRF S.A.,0.15,"1,423,969",Reduce 74.81%,$2.90,"$4,129,000",2020-06-07,BRFS
2020Q2_689,Howard Marks - Oaktree Capital Management,Q1 2020,HFRO - Highland Income Fund,0.14,"470,000",Buy ,$8.53,"$4,009,000",2020-06-07,HFRO
2020Q2_690,Howard Marks - Oaktree Capital Management,Q1 2020,ASC - Ardmore Shipping Corp.,0.10,"526,694",Buy ,$5.25,"$2,765,000",2020-06-07,ASC
2020Q2_691,Howard Marks - Oaktree Capital Management,Q1 2020,VEON - VEON Ltd.,0.10,"1,878,900",Add 11.91%,$1.51,"$2,837,000",2020-06-07,VEON
2020Q2_692,Howard Marks - Oaktree Capital Management,Q1 2020,INDA - iShares MSCI India ETF,0.09,"109,500",Buy ,$24.05,"$2,634,000",2020-06-07,INDA
2020Q2_693,Howard Marks - Oaktree Capital Management,Q1 2020,FRA - BlackRock Floating Rate Inc Strat. Fund,0.09,"260,000",Buy ,$10.01,"$2,602,000",2020-06-07,FRA
2020Q2_694,Howard Marks - Oaktree Capital Management,Q1 2020,OCSI - Oaktree Strategic Income Corp.,0.08,"392,000", ,$5.54,"$2,171,000",2020-06-07,OCSI
2020Q2_695,Howard Marks - Oaktree Capital Management,Q1 2020,BAK - Braskem S.A.,0.07,"279,550",Buy ,$6.64,"$1,856,000",2020-06-07,BAK
2020Q2_696,Howard Marks - Oaktree Capital Management,Q1 2020,EFR - Eaton Vance Senior Floating-Rate Trust,0.06,"170,000",Buy ,$9.88,"$1,679,000",2020-06-07,EFR
2020Q2_697,Howard Marks - Oaktree Capital Management,Q1 2020,CCO - Clear Channel Outdoor Holdings,0.04,"1,681,898", ,$0.64,"$1,076,000",2020-06-07,CCO
2020Q2_698,Howard Marks - Oaktree Capital Management,Q1 2020,LOMA - Loma Negra Argentina,0.04,"342,000",Add 35.71%,$3.55,"$1,214,000",2020-06-07,LOMA
2020Q2_699,Howard Marks - Oaktree Capital Management,Q1 2020,OIBR - Oi SA,0.03,"2,201,646", ,$0.44,"$966,000",2020-06-07,OIBR
2020Q2_700,Howard Marks - Oaktree Capital Management,Q1 2020,EVF - Eaton Vance Senior Income Trust,0.03,"170,000",Buy ,$4.61,"$783,000",2020-06-07,EVF
2020Q2_701,Howard Marks - Oaktree Capital Management,Q1 2020,OCSL - Oaktree Specialty Lending Corp,0.03,"276,000", ,$3.24,"$894,000",2020-06-07,OCSL
2020Q2_702,Howard Marks - Oaktree Capital Management,Q1 2020,SIGA - SIGA Technologies Inc.,0.03,"159,782", ,$4.78,"$763,000",2020-06-07,SIGA
2020Q2_703,Howard Marks - Oaktree Capital Management,Q1 2020,ASRT - Assertio Therapeutics Inc.,0.03,"1,492,455", ,$0.65,"$970,000",2020-06-07,ASRT
2020Q2_704,Howard Marks - Oaktree Capital Management,Q1 2020,ORCC - Owl Rock Capital Corp.,0.02,"43,000",Buy ,$11.53,"$496,000",2020-06-07,ORCC
2020Q2_705,Howard Marks - Oaktree Capital Management,Q1 2020,DSSI - Diamond S Shipping Inc.,0.01,"22,076", ,$11.78,"$260,000",2020-06-07,DSSI
2020Q2_706,Howard Marks - Oaktree Capital Management,Q1 2020,AMPY - Amplify Energy Corp.,0.01,"410,041", ,$0.57,"$232,000",2020-06-07,AMPY
2020Q2_707,Howard Marks - Oaktree Capital Management,Q1 2020,CPLP - Capital Product Partners LP,0.01,"32,142", ,$7.31,"$235,000",2020-06-07,CPLP
2020Q2_708,Howard Marks - Oaktree Capital Management,Q1 2020,PVA - Penn Virginia,0.01,"124,000", ,$3.09,"$383,000",2020-06-07,PVA
2020Q2_709,Howard Marks - Oaktree Capital Management,Q1 2020,MDR - McDermott International Inc.,0.00,"49,653",Buy ,$0.04,"$2,000",2020-06-07,MDR
2020Q2_710,Howard Marks - Oaktree Capital Management,Q1 2020,USWS.WS - U.S. Well Services Inc. WTS,0.00,"1,500,000", ,$0.02,"$27,000",2020-06-07,USWS.WS
2020Q2_711,Howard Marks - Oaktree Capital Management,Q1 2020,IEA - Infrastructure and Energy Alt. Inc.,0.00,"18,926", ,$2.01,"$38,000",2020-06-07,IEA
2020Q2_712,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,BRK.B - Berkshire Hathaway CL B,18.36,"1,744,715",Add 18.39%,$182.83,"$318,986,000",2020-06-07,BRK.B
2020Q2_713,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,GOOGL - Alphabet Inc.,11.80,"176,380",Reduce 24.43%,$1161.95,"$204,945,000",2020-06-07,GOOGL
2020Q2_714,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,ANTM - Anthem Inc.,11.44,"875,467",Add 39.48%,$227.04,"$198,766,000",2020-06-07,ANTM
2020Q2_715,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,JPM - JPMorgan Chase & Co.,9.90,"1,909,245",Add 3.76%,$90.03,"$171,889,000",2020-06-07,JPM
2020Q2_716,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,RJF - Raymond James Finl,8.12,"2,230,758",Reduce 6.90%,$63.20,"$140,984,000",2020-06-07,RJF
2020Q2_717,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,"PRI - Primerica, Inc.",7.48,"1,467,585",Add 105.51%,$88.48,"$129,852,000",2020-06-07,PRI
2020Q2_718,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,PGR - Progressive Corp.,7.31,"1,718,989",Reduce 0.31%,$73.84,"$126,930,000",2020-06-07,PGR
2020Q2_719,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,HCA - HCA Healthcare Inc.,7.15,"1,381,943",Buy ,$89.85,"$124,168,000",2020-06-07,HCA
2020Q2_720,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,UNH - United Health Group Inc.,3.78,"263,100",Add 65.38%,$249.38,"$65,612,000",2020-06-07,UNH
2020Q2_721,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,LEN - Lennar Corp.,3.69,"1,677,451",Reduce 29.21%,$38.20,"$64,079,000",2020-06-07,LEN
2020Q2_722,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,SCHW - Charles Schwab,3.64,"1,881,990",Add 1.25%,$33.62,"$63,273,000",2020-06-07,SCHW
2020Q2_723,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,DHI - D.R. Horton,3.20,"1,635,442",Add 42.97%,$34.00,"$55,605,000",2020-06-07,DHI
2020Q2_724,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,FB - Facebook Inc.,3.18,"330,862",Buy ,$166.80,"$55,188,000",2020-06-07,FB
2020Q2_725,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,AMGP - Antero Midstream Corp.,0.36,"2,961,561",Add 72.86%,$2.10,"$6,219,000",2020-06-07,AMGP
2020Q2_726,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,AR - Antero Resources,0.35,"8,518,664",Add 19.70%,$0.71,"$6,073,000",2020-06-07,AR
2020Q2_727,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,CMCSA - Comcast Corp.,0.06,"31,094", ,$34.38,"$1,069,000",2020-06-07,CMCSA
2020Q2_728,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,GOOG - Alphabet Inc. CL C,0.06,936,Reduce 14.91%,$1162.39,"$1,088,000",2020-06-07,GOOG
2020Q2_729,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,DLTR - Dollar Tree Inc.,0.05,"11,249",Add 44.24%,$73.43,"$826,000",2020-06-07,DLTR
2020Q2_730,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,MCO - Moody's Corp.,0.04,"3,129",Reduce 41.48%,$211.57,"$662,000",2020-06-07,MCO
2020Q2_731,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,BAC - Bank of America Corp.,0.02,"14,532", ,$21.26,"$309,000",2020-06-07,BAC
2020Q2_732,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,LEN.B - Lennar Corp. CL B,0.02,"9,708",Reduce 27.05%,$28.95,"$281,000",2020-06-07,LEN.B
2020Q2_733,Glenn Greenberg - Brave Warrior Advisors,Q1 2020,MAR - Marriott Int'l.,0.01,"2,897",Buy ,$74.91,"$217,000",2020-06-07,MAR
2020Q2_734,Lee Ainslie - Maverick Capital,Q1 2020,DD - DuPont de Nemours Inc.,7.31,"10,165,220",Add 42.31%,$34.10,"$346,634,000",2020-06-07,DD
2020Q2_735,Lee Ainslie - Maverick Capital,Q1 2020,HUM - Humana Inc.,6.23,"940,834",Add 101.99%,$314.02,"$295,441,000",2020-06-07,HUM
2020Q2_736,Lee Ainslie - Maverick Capital,Q1 2020,BABA - Alibaba Group Holdings,6.15,"1,497,784",Reduce 21.76%,$194.48,"$291,289,000",2020-06-07,BABA
2020Q2_737,Lee Ainslie - Maverick Capital,Q1 2020,GOOG - Alphabet Inc. CL C,5.19,"211,453",Reduce 31.59%,$1162.81,"$245,880,000",2020-06-07,GOOG
2020Q2_738,Lee Ainslie - Maverick Capital,Q1 2020,FLT - FleetCor Technologies Inc.,4.88,"1,240,145",Add 119.21%,$186.54,"$231,337,000",2020-06-07,FLT
2020Q2_739,Lee Ainslie - Maverick Capital,Q1 2020,CCK - Crown Holdings,4.27,"3,486,509",Add 23.18%,$58.04,"$202,357,000",2020-06-07,CCK
2020Q2_740,Lee Ainslie - Maverick Capital,Q1 2020,MSFT - Microsoft Corp.,4.15,"1,247,147",Add 103.35%,$157.71,"$196,688,000",2020-06-07,MSFT
2020Q2_741,Lee Ainslie - Maverick Capital,Q1 2020,QSR - Restaurant Brands International,3.89,"4,612,010",Add 925.73%,$40.03,"$184,619,000",2020-06-07,QSR
2020Q2_742,Lee Ainslie - Maverick Capital,Q1 2020,COMM - CommScope Holding Co.,3.71,"19,326,308", ,$9.11,"$176,063,000",2020-06-07,COMM
2020Q2_743,Lee Ainslie - Maverick Capital,Q1 2020,NFLX - Netflix Inc.,3.59,"453,190",Reduce 43.67%,$375.50,"$170,173,000",2020-06-07,NFLX
2020Q2_744,Lee Ainslie - Maverick Capital,Q1 2020,ALNY - Alnylam Pharmaceuticals,3.08,"1,339,705",Reduce 40.74%,$108.85,"$145,827,000",2020-06-07,ALNY
2020Q2_745,Lee Ainslie - Maverick Capital,Q1 2020,KKR - KKR & Co. L.P.,2.42,"4,896,956",Add 322.82%,$23.47,"$114,932,000",2020-06-07,KKR
2020Q2_746,Lee Ainslie - Maverick Capital,Q1 2020,FB - Facebook Inc.,2.15,"611,717",Add 2875.57%,$166.80,"$102,034,000",2020-06-07,FB
2020Q2_747,Lee Ainslie - Maverick Capital,Q1 2020,ONEM - 1Life Healthcare Inc.,2.14,"5,955,185",Buy ,$17.04,"$101,486,000",2020-06-07,ONEM
2020Q2_748,Lee Ainslie - Maverick Capital,Q1 2020,NKTR - Nektar Therapeutics,1.84,"4,898,401",Add 51.13%,$17.85,"$87,436,000",2020-06-07,NKTR
2020Q2_749,Lee Ainslie - Maverick Capital,Q1 2020,PRSP - Perspecta Inc.,1.53,"3,977,303",Reduce 26.02%,$18.24,"$72,546,000",2020-06-07,PRSP
2020Q2_750,Lee Ainslie - Maverick Capital,Q1 2020,AMZN - Amazon Corp.,1.49,"36,307",Buy ,$1949.71,"$70,788,000",2020-06-07,AMZN
2020Q2_751,Lee Ainslie - Maverick Capital,Q1 2020,TMUS - T-Mobile US Inc.,1.49,"840,842",Reduce 68.20%,$83.90,"$70,547,000",2020-06-07,TMUS
2020Q2_752,Lee Ainslie - Maverick Capital,Q1 2020,AVTR - Avantor arinc.,1.48,"5,625,123",Add 54.35%,$12.49,"$70,258,000",2020-06-07,AVTR
2020Q2_753,Lee Ainslie - Maverick Capital,Q1 2020,STNE - StoneCo Ltd.,1.45,"3,156,699",Reduce 25.57%,$21.77,"$68,721,000",2020-06-07,STNE
2020Q2_754,Lee Ainslie - Maverick Capital,Q1 2020,ADBE - Adobe Inc.,1.39,"206,425",Add 15.62%,$318.24,"$65,693,000",2020-06-07,ADBE
2020Q2_755,Lee Ainslie - Maverick Capital,Q1 2020,BTI - British American Tobacco plc,1.28,"1,779,306",Reduce 27.20%,$34.19,"$60,834,000",2020-06-07,BTI
2020Q2_756,Lee Ainslie - Maverick Capital,Q1 2020,MNTA - Momenta Pharmaceuticals Inc.,1.25,"2,171,065",Buy ,$27.20,"$59,053,000",2020-06-07,MNTA
2020Q2_757,Lee Ainslie - Maverick Capital,Q1 2020,FTDR - frontdoor Inc.,1.14,"1,547,788",Add 65.98%,$34.78,"$53,832,000",2020-06-07,FTDR
2020Q2_758,Lee Ainslie - Maverick Capital,Q1 2020,XP - XP Inc.,1.11,"2,731,455",Add 58.05%,$19.29,"$52,690,000",2020-06-07,XP
2020Q2_759,Lee Ainslie - Maverick Capital,Q1 2020,DXC - DXC Technology Co.,0.99,"3,592,473",Reduce 60.05%,$13.05,"$46,882,000",2020-06-07,DXC
2020Q2_760,Lee Ainslie - Maverick Capital,Q1 2020,ATRA - Atara Biotherapeutics Inc.,0.93,"5,199,897",Add 4.87%,$8.51,"$44,251,000",2020-06-07,ATRA
2020Q2_761,Lee Ainslie - Maverick Capital,Q1 2020,CNC - Centene Corp.,0.88,"705,349",Reduce 77.71%,$59.41,"$41,905,000",2020-06-07,CNC
2020Q2_762,Lee Ainslie - Maverick Capital,Q1 2020,ALKS - Alkermes plc,0.76,"2,494,384",Buy ,$14.42,"$35,969,000",2020-06-07,ALKS
2020Q2_763,Lee Ainslie - Maverick Capital,Q1 2020,H - Hyatt Hotels Corp.,0.51,"508,786",Add 20.23%,$47.90,"$24,371,000",2020-06-07,H
2020Q2_764,Lee Ainslie - Maverick Capital,Q1 2020,BX - The Blackstone Group,0.47,"488,431",Buy ,$45.57,"$22,258,000",2020-06-07,BX
2020Q2_765,Lee Ainslie - Maverick Capital,Q1 2020,FTNT - Fortinet Inc.,0.37,"173,964",Add 2.60%,$101.17,"$17,600,000",2020-06-07,FTNT
2020Q2_766,Lee Ainslie - Maverick Capital,Q1 2020,PZZA - Papa John's International,0.28,"250,836",Add 9.31%,$53.37,"$13,387,000",2020-06-07,PZZA
2020Q2_767,Lee Ainslie - Maverick Capital,Q1 2020,GME - GameStop Corp.,0.28,"3,810,484",Buy ,$3.50,"$13,337,000",2020-06-07,GME
2020Q2_768,Lee Ainslie - Maverick Capital,Q1 2020,DECK - Deckers Outdoor,0.26,"92,913",Buy ,$134.00,"$12,450,000",2020-06-07,DECK
2020Q2_769,Lee Ainslie - Maverick Capital,Q1 2020,WING - Wingstop Inc.,0.26,"155,406",Add 111.19%,$79.70,"$12,386,000",2020-06-07,WING
2020Q2_770,Lee Ainslie - Maverick Capital,Q1 2020,ARMK - Aramark,0.25,"598,700",Buy ,$19.97,"$11,956,000",2020-06-07,ARMK
2020Q2_771,Lee Ainslie - Maverick Capital,Q1 2020,LOW - Lowe's Cos.,0.25,"136,068",Reduce 88.96%,$86.05,"$11,709,000",2020-06-07,LOW
2020Q2_772,Lee Ainslie - Maverick Capital,Q1 2020,WEN - Wendy's Co.,0.25,"793,137",Buy ,$14.88,"$11,802,000",2020-06-07,WEN
2020Q2_773,Lee Ainslie - Maverick Capital,Q1 2020,JBX - Jack in the Box,0.23,"306,300",Buy ,$35.05,"$10,736,000",2020-06-07,JBX
2020Q2_774,Lee Ainslie - Maverick Capital,Q1 2020,ORCL - Oracle Corp.,0.23,"229,083",Add 25.96%,$48.33,"$11,072,000",2020-06-07,ORCL
2020Q2_775,Lee Ainslie - Maverick Capital,Q1 2020,AMD - Advanced Micro Devices,0.22,"228,764",Add 36.56%,$45.48,"$10,404,000",2020-06-07,AMD
2020Q2_776,Lee Ainslie - Maverick Capital,Q1 2020,K - Kellogg Co.,0.22,"171,801",Buy ,$59.99,"$10,306,000",2020-06-07,K
2020Q2_777,Lee Ainslie - Maverick Capital,Q1 2020,UI - Ubiquiti Inc.,0.21,"69,192",Add 21.09%,$141.58,"$9,796,000",2020-06-07,UI
2020Q2_778,Lee Ainslie - Maverick Capital,Q1 2020,NTAP - NetApp Inc.,0.21,"243,332",Add 53.79%,$41.69,"$10,145,000",2020-06-07,NTAP
2020Q2_779,Lee Ainslie - Maverick Capital,Q1 2020,LB - L Brands Inc,0.19,"769,786",Add 58.68%,$11.56,"$8,899,000",2020-06-07,LB
2020Q2_780,Lee Ainslie - Maverick Capital,Q1 2020,AAPL - Apple Inc.,0.18,"33,298",Reduce 36.36%,$254.28,"$8,467,000",2020-06-07,AAPL
2020Q2_781,Lee Ainslie - Maverick Capital,Q1 2020,TSCO - Tractor Supply,0.18,"101,442",Buy ,$84.55,"$8,577,000",2020-06-07,TSCO
2020Q2_782,Lee Ainslie - Maverick Capital,Q1 2020,SMG - Scotts Miracle-Gro Co.,0.18,"84,351",Add 6.71%,$102.41,"$8,638,000",2020-06-07,SMG
2020Q2_783,Lee Ainslie - Maverick Capital,Q1 2020,LOGI - Logitech International SA,0.18,"191,505",Add 21.94%,$43.46,"$8,322,000",2020-06-07,LOGI
2020Q2_784,Lee Ainslie - Maverick Capital,Q1 2020,PEP - PepsiCo Inc.,0.17,"65,839",Add 1439.37%,$120.10,"$7,907,000",2020-06-07,PEP
2020Q2_785,Lee Ainslie - Maverick Capital,Q1 2020,SAM - Boston Beer Company,0.17,"21,731",Reduce 38.63%,$367.54,"$7,987,000",2020-06-07,SAM
2020Q2_786,Lee Ainslie - Maverick Capital,Q1 2020,WHR - Whirlpool Corp.,0.16,"86,180",Add 54.82%,$85.80,"$7,394,000",2020-06-07,WHR
2020Q2_787,Lee Ainslie - Maverick Capital,Q1 2020,CHGG - CHEGG Inc.,0.16,"206,616",Reduce 48.23%,$35.78,"$7,393,000",2020-06-07,CHGG
2020Q2_788,Lee Ainslie - Maverick Capital,Q1 2020,HCA - HCA Healthcare Inc.,0.15,"77,582",Add 209.84%,$89.85,"$6,971,000",2020-06-07,HCA
2020Q2_789,Lee Ainslie - Maverick Capital,Q1 2020,IRBT - iRobot Corp.,0.15,"178,045",Add 200.42%,$40.90,"$7,282,000",2020-06-07,IRBT
2020Q2_790,Lee Ainslie - Maverick Capital,Q1 2020,MDLZ - Mondelez International,0.15,"143,248",Buy ,$50.08,"$7,174,000",2020-06-07,MDLZ
2020Q2_791,Lee Ainslie - Maverick Capital,Q1 2020,ZBRA - Zebra Technologies Corp.,0.15,"38,370",Add 63.39%,$183.61,"$7,045,000",2020-06-07,ZBRA
2020Q2_792,Lee Ainslie - Maverick Capital,Q1 2020,FLO - Flowers Foods,0.15,"338,030",Add 766.43%,$20.52,"$6,936,000",2020-06-07,FLO
2020Q2_793,Lee Ainslie - Maverick Capital,Q1 2020,FTCH - Farfetch Ltd,0.15,"870,238",Add 63.97%,$7.90,"$6,875,000",2020-06-07,FTCH
2020Q2_794,Lee Ainslie - Maverick Capital,Q1 2020,ABC - AmerisourceBergen Corp.,0.14,"73,661",Reduce 4.70%,$88.50,"$6,519,000",2020-06-07,ABC
2020Q2_795,Lee Ainslie - Maverick Capital,Q1 2020,HD - Home Depot,0.14,"35,670",Reduce 13.87%,$186.71,"$6,660,000",2020-06-07,HD
2020Q2_796,Lee Ainslie - Maverick Capital,Q1 2020,ANF - Abercrombie & Fitch Co.,0.14,"737,272",Buy ,$9.09,"$6,702,000",2020-06-07,ANF
2020Q2_797,Lee Ainslie - Maverick Capital,Q1 2020,POST - Post Holdings,0.14,"77,754",Reduce 34.50%,$82.97,"$6,451,000",2020-06-07,POST
2020Q2_798,Lee Ainslie - Maverick Capital,Q1 2020,CSLT - Castlight Health Inc.,0.14,"9,031,542",Add 397.46%,$0.72,"$6,531,000",2020-06-07,CSLT
2020Q2_799,Lee Ainslie - Maverick Capital,Q1 2020,ZUMZ - Zumiez Inc.,0.14,"373,325",Add 95.80%,$17.32,"$6,466,000",2020-06-07,ZUMZ
2020Q2_800,Lee Ainslie - Maverick Capital,Q1 2020,SIX - Six Flags Inc.,0.14,"542,302",Add 235.62%,$12.54,"$6,800,000",2020-06-07,SIX
2020Q2_801,Lee Ainslie - Maverick Capital,Q1 2020,AVGO - Broadcom Inc.,0.13,"25,012",Add 1462.27%,$237.09,"$5,930,000",2020-06-07,AVGO
2020Q2_802,Lee Ainslie - Maverick Capital,Q1 2020,BIG - Big Lots Inc.,0.13,"425,716",Buy ,$14.22,"$6,054,000",2020-06-07,BIG
2020Q2_803,Lee Ainslie - Maverick Capital,Q1 2020,PETS - PetMed Express,0.13,"207,225",Buy ,$28.78,"$5,964,000",2020-06-07,PETS
2020Q2_804,Lee Ainslie - Maverick Capital,Q1 2020,CTXS - Citrix Systems,0.13,"44,227",Add 20.52%,$141.54,"$6,260,000",2020-06-07,CTXS
2020Q2_805,Lee Ainslie - Maverick Capital,Q1 2020,HBI - Hanesbrands Inc.,0.13,"782,540",Add 172.84%,$7.87,"$6,159,000",2020-06-07,HBI
2020Q2_806,Lee Ainslie - Maverick Capital,Q1 2020,SFIX - Stitch Fix Inc.,0.12,"438,571",Buy ,$12.70,"$5,570,000",2020-06-07,SFIX
2020Q2_807,Lee Ainslie - Maverick Capital,Q1 2020,BBY - Best Buy Co. Inc.,0.12,"98,384",Buy ,$57.00,"$5,608,000",2020-06-07,BBY
2020Q2_808,Lee Ainslie - Maverick Capital,Q1 2020,VRSN - Verisign Inc.,0.12,"32,329",Add 34.55%,$180.09,"$5,822,000",2020-06-07,VRSN
2020Q2_809,Lee Ainslie - Maverick Capital,Q1 2020,DG - Dollar General,0.12,"37,813",Buy ,$151.01,"$5,710,000",2020-06-07,DG
2020Q2_810,Lee Ainslie - Maverick Capital,Q1 2020,HELE - Helen of Troy Ltd.,0.12,"39,494",Add 17.70%,$144.02,"$5,688,000",2020-06-07,HELE
2020Q2_811,Lee Ainslie - Maverick Capital,Q1 2020,JNJ - Johnson & Johnson,0.12,"44,249",Reduce 42.31%,$131.12,"$5,802,000",2020-06-07,JNJ
2020Q2_812,Lee Ainslie - Maverick Capital,Q1 2020,HON - Honeywell Int'l Inc.,0.11,"40,084",Add 36.75%,$133.79,"$5,363,000",2020-06-07,HON
2020Q2_813,Lee Ainslie - Maverick Capital,Q1 2020,UAL - United Airlines Holdings Inc.,0.11,"167,275",Add 239.00%,$31.55,"$5,278,000",2020-06-07,UAL
2020Q2_814,Lee Ainslie - Maverick Capital,Q1 2020,PLCE - Childrens Place Inc.,0.10,"239,420",Add 723.00%,$19.56,"$4,683,000",2020-06-07,PLCE
2020Q2_815,Lee Ainslie - Maverick Capital,Q1 2020,ATVI - Activision Blizzard Inc.,0.10,"81,268",Add 84.82%,$59.48,"$4,834,000",2020-06-07,ATVI
2020Q2_816,Lee Ainslie - Maverick Capital,Q1 2020,PG - Procter & Gamble,0.10,"45,083",Add 2028.56%,$110.00,"$4,959,000",2020-06-07,PG
2020Q2_817,Lee Ainslie - Maverick Capital,Q1 2020,STZ - Constellation Brands,0.10,"32,467",Add 34.32%,$143.35,"$4,654,000",2020-06-07,STZ
2020Q2_818,Lee Ainslie - Maverick Capital,Q1 2020,CTAS - Cintas Corp.,0.10,"26,366",Add 23.92%,$173.22,"$4,567,000",2020-06-07,CTAS
2020Q2_819,Lee Ainslie - Maverick Capital,Q1 2020,ROKU - Roku Inc.,0.10,"55,327",Add 1262.06%,$87.48,"$4,840,000",2020-06-07,ROKU
2020Q2_820,Lee Ainslie - Maverick Capital,Q1 2020,WSM - Williams-Sonoma Inc.,0.10,"106,131",Reduce 65.26%,$42.52,"$4,513,000",2020-06-07,WSM
2020Q2_821,Lee Ainslie - Maverick Capital,Q1 2020,XYL - Xylem Inc.,0.10,"75,362",Reduce 23.42%,$65.13,"$4,908,000",2020-06-07,XYL
2020Q2_822,Lee Ainslie - Maverick Capital,Q1 2020,YUM - Yum! Brands Inc.,0.10,"72,575",Buy ,$68.54,"$4,974,000",2020-06-07,YUM
2020Q2_823,Lee Ainslie - Maverick Capital,Q1 2020,LRCX - Lam Research,0.10,"20,409",Reduce 22.76%,$239.99,"$4,898,000",2020-06-07,LRCX
2020Q2_824,Lee Ainslie - Maverick Capital,Q1 2020,UHS - Universal Health Services Inc.,0.10,"46,127",Add 27.41%,$99.07,"$4,570,000",2020-06-07,UHS
2020Q2_825,Lee Ainslie - Maverick Capital,Q1 2020,AAP - Advance Auto Parts,0.09,"47,761",Buy ,$93.32,"$4,457,000",2020-06-07,AAP
2020Q2_826,Lee Ainslie - Maverick Capital,Q1 2020,SPWH - Sportsman's Warehouse Hldgs,0.09,"660,715",Buy ,$6.16,"$4,070,000",2020-06-07,SPWH
2020Q2_827,Lee Ainslie - Maverick Capital,Q1 2020,BAX - Baxter International Inc.,0.09,"50,424",Add 106.88%,$81.19,"$4,094,000",2020-06-07,BAX
2020Q2_828,Lee Ainslie - Maverick Capital,Q1 2020,QRVO - Qorvo Inc.,0.09,"54,303",Reduce 11.41%,$80.62,"$4,378,000",2020-06-07,QRVO
2020Q2_829,Lee Ainslie - Maverick Capital,Q1 2020,MNST - Monster Beverage Corp.,0.09,"71,883",Reduce 98.66%,$56.26,"$4,044,000",2020-06-07,MNST
2020Q2_830,Lee Ainslie - Maverick Capital,Q1 2020,DAR - Darling Ingredients Inc.,0.09,"225,980",Buy ,$19.17,"$4,332,000",2020-06-07,DAR
2020Q2_831,Lee Ainslie - Maverick Capital,Q1 2020,DDS - Dillard Inc.,0.09,"119,153",Buy ,$36.95,"$4,403,000",2020-06-07,DDS
2020Q2_832,Lee Ainslie - Maverick Capital,Q1 2020,"ELF - e.l.f. Beauty, Inc.",0.09,"443,745",Reduce 23.41%,$9.84,"$4,366,000",2020-06-07,ELF
2020Q2_833,Lee Ainslie - Maverick Capital,Q1 2020,SIG - Signet Jewelers Ltd.,0.09,"639,984",Buy ,$6.45,"$4,128,000",2020-06-07,SIG
